product_id,name,slug,category,category_slug,subcategory,subcategory_slug,price,regular_price,discount,unit,image_url,in_stock
506389,Marlboro Advance Compact,marlboro-advance-compact,Paan Corner,paan-corner,Cigarettes,cigarettes,115,115,,10 pcs,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/59bf8109-4c38-4807-b6f1-93972061fa58.png",yes
485167,Classic Connect,classic-connect,Paan Corner,paan-corner,Cigarettes,cigarettes,390,390,,20 pcs,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/99a97f38-5d98-4e5f-a98d-5fd4d29a403f.png",yes
479278,Marlboro Fine Touch,marlboro-fine-touch,Paan Corner,paan-corner,Cigarettes,cigarettes,195,195,,10 pcs,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/ec10856c-fff9-4023-9d26-aab1558a537d.png",yes
540309,Gold Flake Premium Filter,gold-flake-premium-filter,Paan Corner,paan-corner,Cigarettes,cigarettes,95,95,,10 pcs,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/83370a7e-d8a1-449d-9852-f6f12e69bff1.png",yes
485466,Marlboro Advance,marlboro-advance,Paan Corner,paan-corner,Cigarettes,cigarettes,170,170,,10 pcs,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/89b83e50-3574-4487-abcb-a67cc743a2c6.png",yes
479281,Classic Refined Taste (Ultra Mild),classic-refined-taste-ultra-mild,Paan Corner,paan-corner,Cigarettes,cigarettes,480,480,,20 pcs,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/a4333f0e-5ef0-4ba0-8984-de6a8d88b0fe.png",yes
503582,Classic Balanced Taste (Milds),classic-balanced-taste-milds,Paan Corner,paan-corner,Cigarettes,cigarettes,240,240,,10 pcs,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/4eb3f4ad-0380-4e02-96bc-1dbb24abbc37.png",yes
479276,Marlboro Gold Advance,marlboro-gold-advance,Paan Corner,paan-corner,Cigarettes,cigarettes,480,480,,20 pcs,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/a1b71508-a24b-4747-aee0-d7fb78b46ab3.png",yes
503580,Gold Flake King's Red,gold-flake-kings-red,Paan Corner,paan-corner,Cigarettes,cigarettes,240,240,,10 pcs,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/d72909ba-d715-4c9b-a679-b57187f4e736.png",yes
481323,Stellar Shift,stellar-shift,Paan Corner,paan-corner,Cigarettes,cigarettes,380,380,,20 pcs,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/811c9998-6710-492c-8a11-1ac2c2fcd360.png",yes
